analysis,stratum,n_graphs,metric,value
global,all,509,mantel_r_vs_dC3,0.932859
fixed_C3,C3=0,110,mantel_r_vs_dC4,0.980788
fixed_C3,C3=1,122,mantel_r_vs_dC4,0.978760
fixed_C3,C3=2,139,mantel_r_vs_dC4,0.957049
fixed_C3,C3=3,74,mantel_r_vs_dC4,0.949181
fixed_C3,C3=4,45,mantel_r_vs_dC4,0.947807
fixed_C3,C3=5,12,mantel_r_vs_dC4,0.938444
fixed_C3_C4,(0,2),24,mantel_r_vs_dC5,0.924071
fixed_C3_C4,(0,3),20,mantel_r_vs_dC5,0.346662
fixed_C3_C4,(0,4),18,mantel_r_vs_dC5,0.188548
fixed_C3_C4,(1,1),21,mantel_r_vs_dC5,0.909647
fixed_C3_C4,(1,2),33,mantel_r_vs_dC5,0.928148
fixed_C3_C4,(1,3),25,mantel_r_vs_dC5,0.111764
fixed_C3_C4,(1,4),19,mantel_r_vs_dC5,0.126638
fixed_C3_C4,(2,1),26,mantel_r_vs_dC5,0.756985
fixed_C3_C4,(2,2),32,mantel_r_vs_dC5,0.414140
fixed_C3_C4,(2,3),34,mantel_r_vs_dC5,0.188057
fixed_C3_C4,(2,4),16,mantel_r_vs_dC5,0.142003
fixed_C3_C4,(3,2),20,mantel_r_vs_dC5,0.115633
linear_probe,C3,509,heldout_ridge_r2,0.999991
linear_probe,C4,509,heldout_ridge_r2,0.996954
linear_probe,C5,509,heldout_ridge_r2,0.893993
linear_probe,C6,509,heldout_ridge_r2,0.336655
linear_probe,C3_shuffled_control,509,heldout_ridge_r2,-0.014450
